date,sentiment_mean,sentiment_volatility,tweet_volume,StringencyIndex_Average,daily_new_cases,daily_new_deaths,C1_School_closing,C2_Workplace_closing,C4_Restrictions_gatherings,C6_Stay_at_home,C7_Internal_movement,C8_International_travel,H6_Facial_coverings
2020-12-11,0.0017421916281221,-0.0055292339460057405,315096.0,0.0,381.1666666669771,68.66666666665697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-12,0.010549890707544501,0.0120767754771694,-600119.0,0.0,-2536.666666666977,-144.33333333332848,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-13,0.0009803839642126,-0.006511968953905489,284064.0,0.0,-5862.166666666511,-160.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0033940117786522006,0.003200592990022788,404065.0,0.9266666666666694,3987.8333333334886,36.33333333332848,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-15,-0.002415330384212197,0.00903178024605894,13830.0,0.0,2153.5,195.33333333334303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-16,-0.024458530243548403,-0.0055911281484885,221519.0,0.0,2364.9999999995343,127.33333333332848,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-17,0.010266106302121901,-0.004437308902484227,192200.0,0.0,2649.833333333954,-25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-18,0.009562991807751997,0.007543866648058284,22137.0,0.0,49.33333333302289,-77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-19,-0.0150372331477105,-0.010842476856312178,-554967.0,2.0049999999999883,-7321.666666666977,-46.16666666667152,0.0,0.33333333333333326,0.0,0.3333333333333335,0.0,0.0,0.0
2020-12-20,-0.001062104711919698,-0.003639782910910827,898801.0,0.0,-1642.1666666660458,-174.49999999998545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0007969842876357006,0.0023994201774203416,-96891.0,0.0,1699.333333333023,32.166666666656965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-22,0.000797055881944099,0.008700063898191668,-38658.0,0.46333333333333826,1823.333333333023,254.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666652,0.0
2020-12-23,0.007734976314956198,-0.00046816927059417646,-394494.0,0.0,2927.0000000004657,4.666666666656965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-24,-0.0093184107859728,0.018089069612396202,-919712.0,-0.6166666666666742,-1625.166666666977,-76.83333333331393,0.0,0.0,-0.16666666666666652,-0.16666666666666674,0.0,0.16666666666666696,0.0
2020-12-25,0.003623019265296498,-0.019937634675103233,-854509.0,-0.6949999999999861,-15448.833333333023,-227.16666666668607,0.0,0.0,-0.16666666666666652,0.0,0.0,0.0,0.0
2020-12-26,-0.0013941367997403961,0.002755406538653915,698693.0,0.6949999999999861,15690.0,73.83333333334303,0.0,0.0,0.16666666666666652,0.0,0.0,0.0,0.0
2020-12-27,-0.007556624581679501,0.018762066803602817,303757.0,2.006666666666675,-14088.333333333489,-66.0,0.0,0.16666666666666652,0.16666666666666652,0.0,0.16666666666666674,0.0,0.0
2020-12-28,-0.0010849617006691015,-0.015016569872370822,1132417.0,0.0,8040.166666666511,70.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-29,0.005160806679904303,-0.010690456149196004,-219280.0,0.0,7981.0,287.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-30,0.005747105622486197,0.0024965043776222218,293925.0,0.61666666666666,1213.3333333334886,49.5,0.16666666666666652,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,0.016495965459472996,0.002421382254918114,-448966.0,0.0,16702.83333333349,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,-0.012239055678187595,-0.008662676251100732,-489395.0,0.6166666666666742,-23254.83333333349,-170.16666666665697,0.0,0.0,0.0,0.16666666666666674,0.0,0.0,0.16666666666666652
2021-01-02,-0.020832056622053098,0.011319967534211328,212032.0,0.0,16778.83333333349,64.83333333331393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,0.016106654674004996,0.005362596143212495,250535.0,0.0,-11131.666666666977,-207.83333333331393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04,-0.014243951980640497,0.0031465171359469912,226192.0,0.0,-1907.833333333023,144.16666666665697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05,0.010947937799186402,-0.01654719657283471,189585.0,1.3883333333333212,7427.999999999534,260.3333333333285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06,-0.008872847456743299,-0.003096728908636104,-394435.0,0.4616666666666731,5477.000000000466,54.16666666667152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
