date,sentiment_mean,sentiment_volatility,tweet_volume,source_file
2022-08-14,0.04179378849595372,0.2623554187442386,520366,corona_tweets_879.csv
2021-03-12,0.060544129532966555,0.25572017118158713,2782982,corona_tweets_359.csv
2020-11-25,0.06037855604149052,0.26911799135829995,3084475,corona_tweets_252.csv
2021-05-10,0.06666103357328892,0.2500586197967138,3272827,corona_tweets_418.csv
2020-09-18,0.05719355472571163,0.26000086772249453,3328710,corona_tweets_184.csv
2022-01-16,0.05058582689582438,0.25374676397049495,2255273,corona_tweets_669.csv
2020-04-29,0.05962128783808807,0.260682987039253,2390703,corona_tweets_42.csv
2020-05-17,0.05148972223696713,0.25569986430639224,3530933,corona_tweets_60.csv
2022-01-04,0.04674657656542041,0.2515598733989743,3346576,corona_tweets_657.csv
2021-10-31,0.057786504770283784,0.26164149912296747,1380723,corona_tweets_592.csv
2022-02-15,0.04710495845737365,0.2540331571261404,1706704,corona_tweets_699.csv
2020-12-21,0.050918307684004,0.25841703851010317,3974884,corona_tweets_278.csv
2022-02-28,0.07024636916556469,0.2534406597350595,1085424,corona_tweets_712.csv
2020-05-28,0.04477273618265101,0.27972813881518543,3446008,corona_tweets_71.csv
2021-10-04,0.06512017010870168,0.2533047845184667,1909160,corona_tweets_565.csv
2021-08-15,0.044165963061354375,0.2594155012323822,2100263,corona_tweets_515.csv
2021-10-11,0.06023086629953484,0.25461474344210333,1436411,corona_tweets_572.csv
2020-07-22,0.05331341039059823,0.2528942623344579,3691852,corona_tweets_126.csv
2022-06-03,0.06403075720663758,0.24351339764328264,802733,corona_tweets_807.csv
2021-09-03,0.05457230489395592,0.2630661321259356,2405033,corona_tweets_534.csv
2022-01-29,0.05566930233957513,0.26280819141826073,1797616,corona_tweets_682.csv
2020-11-20,0.06609960895157281,0.2654251015814672,3467627,corona_tweets_247.csv
2021-01-12,0.04859479724969873,0.27437778145195785,3512165,corona_tweets_300.csv
2022-04-03,0.04073689356899683,0.2696956403740288,955923,corona_tweets_746.csv
2021-04-18,0.05493717146097084,0.25359223880998855,3130544,corona_tweets_396.csv
2021-12-03,0.036885324466602296,0.2596005719832253,2190721,corona_tweets_625.csv
